Finn_code	finn_pheno	UK_code	UK_pheno	score	priority	finn_SNP_n	uk_SNP_n	meta_SNP_n	shared_SNP_fu_n	shared_SNP_fm_n	shared_SNP_um_n	shared_SNP_fum_n	uk_clump_n	finn_clump_n	meta_clump_n	intersect_clump_fu_n	intersect_clump_fm_n	intersect_clump_um_n	intersect_clump_fum_n
H8_CHOLEASTOMA	Cholesteatoma of middle ear	H71	Cholesteatoma of middle ear	0.999999582767487	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H8_CONSENHEARINGLOSS	Conductive and sensorineural hearing loss	H90	Conductive and sensorineural hearing loss	0.999999642372131	2	1504	2	49	0	48	0	0	1	15	2	0	1	0	0
H8_EXTDISINOTH	Disorder of external ear, unspecified	H61	Other disorders of external ear	0.73674750328064	2	0	2	2	0	0	0	0	2	0	1	0	0	0	0
H8_EXTOTITIS	Otitis externa	H60	Otitis externa	0.999999403953552	2	382	0	1	0	1	0	0	0	5	0	0	0	0	0
H8_INNER	Diseases of inner ear	H83	Other diseases of inner ear	0.81766265630722	2	3	0	1	0	1	0	0	0	1	1	0	1	0	0
H8_MED_SUPP	Suppurative and unspecified otitis media	H66	Suppurative and unspecified otitis media	0.999999821186066	2	92	0	0	0	0	0	0	0	1	0	0	0	0	0
H8_MIDDLEMASTOID	Diseases of middle ear and mastoid	H74	Other disorders of middle ear and mastoid	0.85514634847641	2	73	0	0	0	0	0	0	0	4	0	0	0	0	0
H8_OTHHEARINGLOSS	Other hearing loss	H91	Other hearing loss	1.00000011920929	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0
H8_OTOSCLE	Otosclerosis	H80	Otosclerosis	0.999999284744263	2	1161	7	787	3	502	3	3	2	14	13	1	7	1	2
H8_PERFORATION	Perforation of tympanic membrane	H72	Perforation of tympanic membrane	0.99999988079071	2	58	2	72	0	56	0	0	1	2	3	0	2	0	0
H8_VERTIGO	Disorders of vestibular function (Vertigo)	H81	Disorders of vestibular function	0.887931287288666	2	13	0	2	0	0	0	0	0	2	1	0	0	0	0
HERING_UNILATERAL	Inguinal hernia, unilateralk	K40	Inguinal hernia	0.732934415340424	2	1	2250	923	0	0	901	0	32	0	13	0	0	11	11
I9_AF	Atrial fibrillation and flutter	I48	Atrial fibrillation and flutter	0.999999701976776	2	2702	1634	3348	988	1889	1350	954	35	68	74	23	39	35	44
I9_AORTDIS	Dissection of aorta	40001_I710	Dissection of aorta [any part]	0.954370260238647	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I9_ARTEMBTHR	Arterial embolism and thrombosis	I74	Arterial embolism and thrombosis	0.999999940395355	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I9_ARTOTH	Other diseases of arteries and capillaries	I77	Other disorders of arteries and arterioles	0.85966968536377	2	0	4	0	0	0	0	0	1	0	0	0	0	0	0
I9_CARDARR	Cardiac arrest	I46	Cardiac arrest	0.999999701976776	2	55	0	0	0	0	0	0	0	1	0	0	0	0	0
I9_CARDMPRI_EXNONE	Cardiomyopathies, Primary/intrinsic (no controls excluded)	40001_I429	Cardiomyopathy, unspecified	0.753022909164429	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I9_CARDMYO	Cardiomyopathy	I42	Cardiomyopathy	1.00000047683716	2	279	1	12	0	12	0	0	1	30	2	0	2	0	0
I9_CARDMYOOTH	Cardiomyopathy, other and unspecified	40001_I429	Cardiomyopathy, unspecified	0.904860854148865	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I9_CARDMYO_EXNONE	Cardiomyopathy (no controls excluded)	40001_I429	Cardiomyopathy, unspecified	0.817973971366882	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I9_CEREBDOTH	Other specified cerebrovascular diseases, other cerebrovascular disorders in diseases classified elsewhere	I67	Other cerebrovascular diseases	0.86251825094223	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0
I9_CEREBDOTH_EXNONE	Other specified cerebrovascular diseases, other cerebrovascular disorders in diseases classified elsewhere (no controls excluded)	I67	Other cerebrovascular diseases	0.734807550907135	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I9_CEREBVASC	Cerebrovascular diseases	40001_I679	Cerebrovascular disease, unspecified	0.805229842662811	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I9_DOAAC	Diseases of arteries, arterioles and capillaries	I77	Other disorders of arteries and arterioles	0.816627264022827	2	350	4	131	0	95	4	0	1	5	5	0	2	1	1
I9_HEARTFAIL	Heart failure,strict	I50	Heart failure	0.749534070491791	2	178	3	56	0	56	0	0	3	2	1	0	1	0	0
I9_HEARTFAIL_ALLCAUSE	All-cause Heart Failure	I50	Heart failure	0.787234902381897	2	119	3	0	0	0	0	0	3	5	0	0	0	0	0
I9_HEARTFAIL_NS	Heart failure, not strict	40001_I509	Heart failure, unspecified	0.741231858730316	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I9_HYPOTE	Hypotension	I95	Hypotension	1.00000035762787	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I9_HYPTENSRD	Hypertensive Renal Disease	I12	Hypertensive renal disease	0.999999582767487	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I9_ICH	Intracerebral haemmorrhage	I61	Intracerebral haemorrhage	0.921574413776398	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0
I9_IHD	Ischaemic heart disease, wide definition	I25	Chronic ischaemic heart disease	0.838341295719147	2	2300	2161	3590	1117	1534	1691	1046	31	52	68	18	35	31	41
I9_INTRACRA	Nontraumatic intracranial haemmorrhage	40001_I629	Intracranial haemorrhage (nontraumatic), unspecified	0.82079291343689	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I9_INTRACRA	Nontraumatic intracranial haemmorrhage	I62	Other nontraumatic intracranial haemorrhage	0.780594170093536	2	0	0	10	0	0	0	0	0	0	1	0	0	0	0
I9_LYMPHOTH	Other noninfective disordersof lymphatic vessels and lymph nodes	I89	Other non-infective disorders of lymphatic vessels and lymph nodes	0.987282037734985	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I9_OTHANEUR	Other aneurysm	I72	Other aneurysm	1.00000035762787	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I9_OTHPER	Other peripheral vascular diseases	I73	Other peripheral vascular diseases	1.00000023841858	2	0	2	79	0	0	0	0	1	0	1	0	0	0	0
I9_PAD	Peripheral artery disease	40001_I739	Peripheral vascular disease, unspecified	0.730354249477387	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I9_PAROXTAC	Paroxysmal tachycardia	I47	Paroxysmal tachycardia	1.00000035762787	2	41	4	6	0	1	0	0	2	10	2	0	1	0	0
I9_PERICAOTH	Other diseases of pericardium	I31	Other diseases of pericardium	1.00000035762787	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0
I9_PULMEMB	Pulmonary embolism	I26	Pulmonary embolism	1	2	439	396	623	151	322	228	130	23	9	13	6	6	12	15
I9_SAH	Subarachnoid haemmorrhage	I60	Subarachnoid haemorrhage	0.942062377929688	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I9_STENOSIS	Occlusion and stenosis of arteries, not leading to stroke	I65	Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction	0.864815771579742	2	1	18	10	0	0	10	0	2	1	1	0	0	1	1
I9_STENOSIS_EXNONE	Occlusion and stenosis of arteries, not leading to stroke (no controls excluded)	I65	Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction	0.809179663658142	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I9_THROMBOTH	Other embolism and thrombosis	I82	Other venous embolism and thrombosis	0.906769573688507	2	211	1	20	0	17	0	0	0	9	2	0	2	0	0
I9_UAP	Unstable angina pectoris	I20	Angina pectoris	0.730409622192383	2	198	241	311	156	170	180	150	5	6	17	4	6	6	8
I9_VARICVE	Varicose veins	I86	Varicose veins of other sites	0.70080977678299	2	2283	0	229	0	229	0	0	0	99	6	0	6	0	0
I9_VARICVEOES	Oesophageal varices	I85	Oesophageal varices	1	2	79	68	99	61	78	62	61	1	1	2	1	1	1	1
I9_VARICVESOTH	Varicose veins of other sites	I86	Varicose veins of other sites	0.999999523162842	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0
I9_VASCDEM	Vascular dementia	40001_F019	Vascular dementia, unspecified	0.807032942771912	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
I9_VASCINT	Vascular diseases of the intestine	K55	Vascular disorders of intestine	0.951174318790436	2	0	3	0	0	0	0	0	2	0	0	0	0	0	0
I9_VEINSOTH	Other disorders of veins	I87	Other disorders of veins	0.99999988079071	2	282	0	55	0	55	0	0	0	11	3	0	3	0	0
I9_VTE	Venous thromboembolism	I82	Other venous embolism and thrombosis	0.785395681858063	2	1351	1	304	0	291	0	0	0	62	7	0	7	0	0
ILD	Interstitial lung disease	40001_J849	Interstitial pulmonary disease, unspecified	0.719154000282288	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
J10_ACUTEUPPERINFEC	Acute upper respiratory infections of multiple and unspecified sites	J06	Acute upper respiratory infections of multiple and unspecified sites	0.999999523162842	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
J10_ASTHMA	Asthma	J45	Asthma	1.00000035762787	2	5689	1158	3794	361	2792	406	345	3	36	22	2	22	3	5
J10_BRONCH	Bronchitis, not specified as acute or chronic	J40	Bronchitis, not specified as acute or chronic	0.980207443237305	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
J10_BRONCHIECTASIS	Bronchiectasis	J47	Bronchiectasis	0.999999284744263	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0
J10_CHRONRHINITIS	Chronic rhinitsi, nasopharyngitis and pharyngitis	J31	Chronic rhinitis, nasopharyngitis and pharyngitis	0.96802145242691	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
J10_CHRONSINUSITIS	Chronic sinusitis	J32	Chronic sinusitis	0.999999821186066	2	1336	0	865	0	773	0	0	0	11	4	0	3	0	0
J10_CHRONTONSADEN	Chronic diseases of tonsils and adenoids	J35	Chronic diseases of tonsils and adenoids	0.999998867511749	2	798	3	140	0	139	0	0	1	44	4	0	5	0	0
J10_EMPHYSEMA	Emphysema	J43	Emphysema	1.00000071525574	2	6	0	35	0	1	0	0	0	2	2	0	2	0	0
J10_INTERSTITIUM	Other respiratory diseases principally affecting the interstitium	40001_J988	Other specified respiratory disorders	0.822338044643402	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
J10_LOWERINF	Other acute lower respiratory infections	J22	Unspecified acute lower respiratory infection	0.707329869270325	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
J10_OTHERINSTPULM	Other insterstitial pulmonary diseases	J84	Other interstitial pulmonary diseases	0.872710168361664	2	261	13	131	2	119	2	2	2	11	2	1	2	1	1
J10_PERITONSABSC	Peritonsillar abscess	J36	Peritonsillar abscess	1.00000047683716	2	41	0	4	0	4	0	0	0	5	2	0	2	0	0
J10_PHARYNGITIS	Acute pharyngitis	J02	Acute pharyngitis	0.999999642372131	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
J10_PLEUREFFUSION	Pleural effusion	J90	Pleural effusion, not elsewhere classified	0.722788274288178	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
J10_PNEUMOBACTEROTH	Bacterial pneumonia, not elsewhere classified	J15	Bacterial pneumonia, not elsewhere classified	0.982786059379577	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0
J10_PNEUMONONBACT	Pneumonia due to other infectious organisms, not elsewhere classified	40001_J189	Pneumonia, unspecified	0.785101056098938	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
J10_PNEUMONONBACT	Pneumonia due to other infectious organisms, not elsewhere classified	J18	Pneumonia, organism unspecified	0.753564119338989	2	0	3	0	0	0	0	0	1	0	0	0	0	0	0
J10_PNEUMONONBACT	Pneumonia due to other infectious organisms, not elsewhere classified	J15	Bacterial pneumonia, not elsewhere classified	0.747458755970001	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0
J10_PNEUMOPNEUMO	Pneumonia due to Streptococcus pneumoniae	J13	Pneumonia due to Streptococcus pneumoniae	0.999999761581421	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
J10_PNEUMOTHORAX	Pneumothorax	J93	Pneumothorax	1.00000023841858	2	0	0	39	0	0	0	0	0	0	1	0	0	0	0
J10_PYOTHORAX	Pyothorax	J86	Pyothorax	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
J10_RESPDISOTH	Other respiratory disorders and diseases	J98	Other respiratory disorders	0.956217765808106	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
J10_RESPIRATORY	Diseases of the respiratory system	J98	Other respiratory disorders	0.730891287326813	2	1895	0	587	0	587	0	0	0	19	1	0	1	0	0
J10_RESPOTHER	Other diseases of the respiratory system	J98	Other respiratory disorders	0.918965280056	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
J10_SINUSITIS	Acute sinusitis	J01	Acute sinusitis	0.999999284744263	2	1055	0	125	0	125	0	0	0	3	1	0	1	0	0
J10_UPPERDIS	Other diseases of upper respiratory tract	J39	Other diseases of upper respiratory tract	1.00000071525574	2	698	3	0	0	0	0	0	2	22	0	0	0	0	0
J10_UPPERINFEC	Acute upper respiratory infections	J06	Acute upper respiratory infections of multiple and unspecified sites	0.803575158119202	2	366	0	0	0	0	0	0	0	3	0	0	0	0	0
J10_VOCALLARYNX	Diseases of vocal cords and larynx+other diseases of upper respiratory tract, no elsewhere classified	J38	Diseases of vocal cords and larynx, not elsewhere classified	0.916601836681366	2	7	4	0	0	0	0	0	2	1	0	0	0	0	0
K11_ACUTPANC	Acute pancreatitis	K85	Acute pancreatitis	1.00000011920929	2	107	1	65	0	65	0	0	0	14	4	0	4	0	0
K11_ALCOLIV	Alcoholic liver disease	K70	Alcoholic liver disease	1	2	81	19	99	15	79	15	15	1	1	1	1	1	1	1
K11_APPENDACUT	Acute appendicitis	K35	Acute appendicitis	1.00000011920929	2	424	15	288	15	249	15	15	1	6	4	1	4	1	1
K11_APPENDOTH	Other appendicitis	K37	Unspecified appendicitis	0.778750956058502	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0
K11_BILIAOTH	Other diseases of biliary tract	K83	Other diseases of biliary tract	0.999999523162842	2	0	3	21	0	0	3	0	3	0	3	0	0	3	3
K11_CARIES	Dental caries	K02	Dental caries	1.00000095367432	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0
K11_CHOLANGI	Cholangitis (primary sclerosing, PSC)	40001_K830	Cholangitis	0.766170024871826	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K11_CHOLECYST	Chlocystitis	K81	Cholecystitis	0.816801071166992	2	49	29	28	18	18	22	18	2	2	1	1	1	1	2
K11_CHOLELITH	Cholelithiasis	K80	Cholelithiasis	0.999999582767487	2	3682	1233	3618	739	2126	909	686	23	50	52	19	39	21	25
K11_CROHN	Crohn disease	K50	Crohn's disease [regional enteritis]	0.816118419170379	2	256	134	269	17	19	107	17	7	13	13	4	4	5	9
K11_DENTOFACIAL_ANOMALIES	Dentofacial anomalies [including malocclusion]	K07	Dentofacial anomalies [including malocclusion]	0.999999701976776	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11_DIAHER	Diaphragmatic hernia	K44	Diaphragmatic hernia	0.999999403953552	2	220	2	188	0	151	0	0	2	6	4	0	3	0	0
K11_DISLIVOTH	Other diseases of liver	K76	Other diseases of liver	1.00000035762787	2	87	4	113	1	77	1	1	3	1	3	1	1	1	2
K11_DISOESINOTH	Disorders of oesophagus in diseases classified elsewhere	K22	Other diseases of oesophagus	0.858289480209351	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11_DISORD_TEETH	Other disorders of teeth and supporting structures	K08	Other disorders of teeth and supporting structures	0.999999761581421	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0
K11_DIVERTIC	Diverticular disease of intestine	K57	Diverticular disease of intestine	1.00000023841858	2	793	275	1305	127	488	198	118	14	22	32	7	14	13	14
K11_DULC	Duodenal ulcer	K26	Duodenal ulcer	1.00000059604645	2	128	135	209	49	89	112	48	1	4	3	1	3	1	2
K11_EMBIMPACT_TEETH	Embedded and impacted teeth	K01	Embedded and impacted teeth	0.99999988079071	2	0	27	2	0	0	0	0	2	0	1	0	0	0	0
K11_ENERCOLNONINF	Noninfective enteritis and colitis	K52	Other non-infective gastro-enteritis and colitis	0.87208354473114	2	909	2	200	0	61	0	0	1	18	7	0	3	0	0
K11_ERUPTION	Tooth eruption problems	K00	Disorders of tooth development and eruption	0.773648917675018	2	0	82	0	0	0	0	0	1	0	0	0	0	0	0
K11_FEMHER	Femoral hernia	K41	Femoral hernia	1	2	0	4	94	0	0	2	0	1	0	2	0	0	1	1
K11_FIBROCHIRLIV	Fibrosis and chirrhosis of liver	K74	Fibrosis and cirrhosis of liver	0.959195852279663	2	304	0	83	0	77	0	0	0	2	2	0	1	0	0
K11_GALLBILPANC	Disorders of gallbladder, biliary tract and pancreas	K82	Other diseases of gallbladder	0.766182661056519	2	3017	2	550	0	549	0	0	2	37	19	1	19	1	2
K11_GALLBLAOTH	Other diseases of gallbladder	K82	Other diseases of gallbladder	0.999999463558197	2	3	2	0	0	0	0	0	2	0	0	0	0	0	0
K11_GIDISEASES	Gastrointestinal diseases	K29	Gastritis and duodenitis	0.70951771736145	2	989	0	314	0	271	0	0	0	17	8	0	7	0	0
K11_GINGIVA	Other disorders of gingiva and edentulous alveolar ridge	K06	Other disorders of gingiva and edentulous alveolar ridge	1.00000047683716	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11_GINGIVITIS_PERIODONTAL	Gingivitis and periodontal diseases	K05	Gingivitis and periodontal diseases	1.00000071525574	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0
K11_GULC	Gastric ulcer	K25	Gastric ulcer	1.00000035762787	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11_HERING	Inguinal hernia	K40	Inguinal hernia	0.999999105930328	2	2076	2250	4596	832	1703	1825	803	32	40	72	17	35	27	37
K11_IBS	Irritable bowel syndrome	K58	Irritable bowel syndrome	0.999999761581421	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0
K11_ILEUS	Paralytic ileus and intestinal obstruction	K56	Paralytic ileus and intestinal obstruction without hernia	0.81883043050766	2	20	0	0	0	0	0	0	0	1	0	0	0	0	0
K11_INTESTOTH	Other diseases of intestines	K63	Other diseases of intestine	0.891699969768524	2	37	149	22	0	0	19	0	3	3	3	0	0	2	2
K11_JAWS	Other diseases of jaws	K10	Other diseases of jaws	0.999999701976776	2	1	0	18	0	0	0	0	0	0	1	0	0	0	0
K11_LIP_ORAL_MUCOSA	Other diseases of lip and oral mucosa	K13	Other diseases of lip and oral mucosa	1.00000023841858	2	4	0	0	0	0	0	0	0	1	0	0	0	0	0
K11_LIVER	Diseases of liver	K76	Other diseases of liver	0.756327986717224	2	115	4	187	1	96	1	1	3	5	8	1	4	1	1
K11_MALABSORB	Intestinal malabsorbtion	K90	Intestinal malabsorption	0.880799472332001	2	3962	29720	19962	3703	3525	19632	3507	20	23	17	22	24	18	40
K11_OESITIS	Oesophagitis	K20	Oesophagitis	0.999999701976776	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0
K11_ORALCYST	Cysts of oral region, not elsewhere classified	K09	Cysts of oral region, not elsewhere classified	0.969367921352386	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
K11_OTHABDHER	Other and unspecified abdominal hernia	K46	Unspecified abdominal hernia	0.894093215465546	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11_OTHANRECT	Other diseases of anus and rectum	K62	Other diseases of anus and rectum	1.00000071525574	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11_OTHDIG	Other diseases of the digestive system	K92	Other diseases of digestive system	0.98445063829422	2	18752	1	9436	0	9431	0	0	1	21	27	0	28	0	0
K11_OTHDISDIG	Other diseases of the digestive system	K92	Other diseases of digestive system	0.98445063829422	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0
K11_OTHDISOES	Other diseases of oesophagus	K22	Other diseases of oesophagus	0.999999284744263	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
K11_OTHDISSTOMDUOD	Other diseases of stomach and duodenum	K31	Other diseases of stomach and duodenum	1.00000107288361	2	0	4	0	0	0	0	0	3	0	0	0	0	0	0
K11_OTHENTERCOL	Other noninfective gastroenteritis and colitis	K52	Other non-infective gastro-enteritis and colitis	0.980912744998932	2	24	2	28	0	0	0	0	1	1	2	0	0	0	0
K11_OTHFUNC	Other functional intestinal disroders	K59	Other functional intestinal disorders	0.791995465755463	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0
K11_OTHGASTR	Other gastritis (incl. Duodenitis)	K29	Gastritis and duodenitis	0.821095943450928	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11_OTHINFLIV	Other inflammatory liver diseases	K75	Other inflammatory liver diseases	0.99999988079071	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
K11_OTHINT	Other diseases of intestine	K63	Other diseases of intestine	0.999999284744263	2	0	149	33	0	0	33	0	3	0	1	0	0	1	1
K11_OTHPERITON	Other diseases of peritoneum	K66	Other disorders of peritoneum	0.907308459281921	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11_PANCOTH	Other diseases of pancreas	K86	Other diseases of pancreas	0.999999403953552	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0
K11_POSTOPDIS	Postprocedural disorders of digestive system, not elsewhere classified	K91	Postprocedural disorders of digestive system, not elsewhere classified	0.984272956848144	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0
K11_PULC	Peptic ulcer	K27	Peptic ulcer, site unspecified	0.789926826953888	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K11_PULP_PERIAPICAL	Diseases of pulp and periapical tissues	K04	Diseases of pulp and periapical tissues	0.999999761581421	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
K11_REFLUX	Gastro-oesophageal reflux disease	K21	Gastro-oesophageal reflux disease	0.999999344348908	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
K11_SALIVARY	Diseases of salivary glands	K11	Diseases of salivary glands	1.00000143051147	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K11_STOMATITIS	Stomatitis and related lesions	K12	Stomatitis and related lesions	1.00000035762787	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0
K11_TONGUE	Diseases of tongue	K14	Diseases of tongue	1.00000023841858	2	0	65	0	0	0	0	0	1	0	0	0	0	0	0
K11_TOOTH_DEV	Disorders of tooth development and eruption	K00	Disorders of tooth development and eruption	1.00000023841858	2	4	82	0	0	0	0	0	1	1	0	0	0	0	0
K11_ULCER	Ulcerative colitis	K51	Ulcerative colitis	0.999999582767487	2	1135	3972	3158	382	753	1699	363	9	22	33	4	15	8	12
K11_UMBHER	Umbilical hernia	K42	Umbilical hernia	0.999999046325684	2	470	245	962	218	416	209	209	1	10	14	1	8	1	1
K11_VASCINT	Vascular disorders of the intestines	K55	Vascular disorders of intestine	0.8820481300354	2	0	3	0	0	0	0	0	2	0	0	0	0	0	0
K11_VENTHER	Ventral hernia	K43	Ventral hernia	1.00000047683716	2	329	9	465	8	255	7	7	2	3	7	1	3	1	1
KNEE_ARTHROSIS	Gonarthrosis [arthrosis of knee](FG)	M17	Gonarthrosis [arthrosis of knee]	0.959945261478424	2	428	175	922	71	255	128	68	9	19	21	1	7	2	3
KRA_PSY_ANXIETY	Anxiety disorders	F41	Other anxiety disorders	0.77569967508316	2	0	1	1	0	0	0	0	1	0	1	0	0	0	0
KRA_PSY_ANYMENTAL	Any mental disorder	F99	Mental disorder, not otherwise specified	0.740576326847076	2	101	0	16	0	16	0	0	0	5	1	0	1	0	0
KRA_PSY_DEMENTIA	Any dementia	40001_F03	Unspecified dementia	0.811932265758514	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KRA_PSY_PERSON	Personality disorders	F60	Specific personality disorders	0.837970614433289	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KRA_PSY_SCHIZODEL	Schizophrenia or delusion	F20	Schizophrenia	0.883996069431305	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0
L12_ABSCESS_CUT	Cutaneous abscess, furuncle and carbuncle	L02	Cutaneous abscess, furuncle and carbuncle	0.970208585262299	2	0	2	1	0	0	0	0	1	0	1	0	0	0	0
L12_ATROPHICSKIN	Atrophic disorders of skin	L90	Atrophic disorders of skin	1.00000035762787	2	1403	0	883	0	687	0	0	0	3	3	0	2	0	0
L12_CELLULITIS	Cellulitis	L03	Cellulitis	1.00000107288361	2	0	28	0	0	0	0	0	3	0	0	0	0	0	0
L12_EPIDERMALTHICKOTH	Other epidermal thickening	L85	Other epidermal thickening	1.00000011920929	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0
L12_ERYTHEMATOUSOTH	Other erythematous conditions	L53	Other erythematous conditions	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0
L12_FOLICULAROTH	Other follicular disorders	L73	Other follicular disorders	1.00000011920929	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
L12_FOLLICULARCYST	Follicular cysts of skin and subcutaneous tissue	L72	Follicular cysts of skin and subcutaneous tissue	0.999999701976776	2	74	666	552	37	40	395	29	10	13	10	11	10	8	19
L12_GRANULOMATOUSSKIN	Granulomatous disorders of skin and subcutaneous tissue	L92	Granulomatous disorders of skin and subcutaneous tissue	0.999999940395355	2	0	0	229	0	0	0	0	0	0	7	0	0	0	0
L12_HYPERTROPHICSKIN	Hypertrophic disorders of skin	L91	Hypertrophic disorders of skin	0.999999523162842	2	34	0	0	0	0	0	0	0	3	0	0	0	0	0
L12_INFECT_SKIN_OTHER	Other local infections of skin and subcutaneous tissue	L08	Other local infections of skin and subcutaneous tissue	0.999999582767487	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L12_LICHENPLANUS	Lichen planus	L43	Lichen planus	1.00000047683716	2	8336	6	4482	5	4469	5	5	1	25	12	1	12	1	1
L12_LICHSIMPANDPRURIGO	Lichen simplex chronicus and prurigo	L28	Lichen simplex chronicus and prurigo	1.00000011920929	2	28	2	0	0	0	0	0	0	3	0	0	0	0	0
L12_LUPUS	Lupus erythematosus	M32	Systemic lupus erythematosus	0.892101585865021	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
L12_NONIONRADISKIN	Skin changes due to chronic exposure to nonionizing radiation	L57	Skin changes due to chronic exposure to nonionising radiation	0.990650057792664	2	1593	65	931	51	844	50	50	4	23	24	3	18	4	4
L12_OTHERSKINSUBCUTIS	Other disorders of skin and subcutaneous tissue	L08	Other local infections of skin and subcutaneous tissue	0.935638010501862	2	704	0	184	0	183	0	0	0	2	1	0	1	0	0
L12_OTHPIGMENTATION	Other disorders of pigmentation	L81	Other disorders of pigmentation	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L12_PILONIDALCYST	Pilonidal cyst	L05	Pilonidal cyst	0.999999463558197	2	40	0	0	0	0	0	0	0	4	0	0	0	0	0
