UK_code	UK_pheno	h2_observed
D09	Carcinoma in situ of other and unspecified sites	0.0011026198074
C78	Secondary malignant neoplasm of respiratory and digestive organs	0.000655125793318
Z85	Personal history of malignant neoplasm	0.00286497940141
K21	Gastro-oesophageal reflux disease	0.0104711665259
R06	Abnormalities of breathing	0.000977153931783
D17	Benign lipomatous neoplasm	0.00149479289888
N62	Hypertrophy of breast	-0.000773838491829
C61	Malignant neoplasm of prostate	0.0048572840188
C85	Other and unspecified types of non-Hodgkin's lymphoma	0.00118613516709
M76	Enthesopathies of lower limb, excluding foot	0.00252848851374
K50	Crohn's disease [regional enteritis]	0.00449181324878
R17	Unspecified jaundice	0.00391437506495
R19	Other symptoms and signs involving the digestive system and abdomen	0.00065841215752
N75	Diseases of Bartholin's gland	0.00344968034025
M87	Osteonecrosis	0.000738817243251
D28	Benign neoplasm of other and unspecified female genital organs	0.00225159133864
M66	Spontaneous rupture of synovium and tendon	0.000863246699814
T87	Complications peculiar to reattachment and amputation	0.0011777995653
H11	Other disorders of conjunctiva	-0.000148945908865
O13	Gestational [pregnancy-induced] hypertension without significant proteinuria	-0.000623631055956
D33	Benign neoplasm of brain and other parts of central nervous system	-0.00219193229322
N45	Orchitis and epididymitis	-0.0038808395045
L03	Cellulitis	0.00593693308729
K74	Fibrosis and cirrhosis of liver	-0.00327430995485
I33	Acute and subacute endocarditis	-0.00197094404829
E14	Unspecified diabetes mellitus	-0.000415231047385
N50	Other disorders of male genital organs	0.00298879808038
M47	Spondylosis	0.00359463051011
Z40	Prophylactic surgery	-0.00177427954296
B07	Viral warts	-0.00148560489094
S12	Fracture of neck	0.00103746665473
H34	Retinal vascular occlusions	0.00259537746152
N81	Female genital prolapse	0.0113014373949
O34	Maternal care for known or suspected abnormality of pelvic organs	0.00203571323755
F32	Depressive episode	0.00311167008857
Z50	Care involving use of rehabilitation procedures	0.00103020211143
S09	Other and unspecified injuries of head	0.00550618357806
K90	Intestinal malabsorption	0.00248500317343
N92	Excessive, frequent and irregular menstruation	0.00696070863092
O21	Excessive vomiting in pregnancy	-0.00232313110795
M20	Acquired deformities of fingers and toes	0.00761779398352
T40	Poisoning by narcotics and psychodysleptics [hallucinogens]	0.00345364043756
K82	Other diseases of gallbladder	-0.000941471164799
H52	Disorders of refraction and accommodation	-0.000334901433851
Q38	Other congenital malformations of tongue, mouth and pharynx	0.00181031908034
Z39	Postpartum care and examination	-0.000543430521868
J45	Asthma	0.00136950237053
S22	Fracture of rib(s), sternum and thoracic spine	-0.000500296738732
I70	Atherosclerosis	0.00349395133979
H81	Disorders of vestibular function	0.00144568447258
Z01	Other special examinations and investigations of persons without complaint or reported diagnosis	0.00302570276917
M06	Other rheumatoid arthritis	-0.000841389813971
I64	Stroke, not specified as haemorrhage or infarction	0.00087917011236
H72	Perforation of tympanic membrane	0.00259392453438
R61	Hyperhidrosis	-0.00157995797102
Q18	Other congenital malformations of face and neck	0.000486207614032
S46	Injury of muscle and tendon at shoulder and upper arm level	0.00293354896045
I51	Complications and ill-defined descriptions of heart disease	0.00117222645652
F41	Other anxiety disorders	0.000977751117013
D44	Neoplasm of uncertain or unknown behaviour of endocrine glands	-0.00283915630762
J31	Chronic rhinitis, nasopharyngitis and pharyngitis	0.0014579864307
I47	Paroxysmal tachycardia	0.00216139479407
R41	Other symptoms and signs involving cognitive functions and awareness	0.00153888596786
D50	Iron deficiency anaemia	-0.00125728708291
C25	Malignant neoplasm of pancreas	0.00330911398999
S69	Other and unspecified injuries of wrist and hand	0.00119773662376
J01	Acute sinusitis	0.00262012382763
K14	Diseases of tongue	0.00470023193699
R59	Enlarged lymph nodes	0.000193972071129
G35	Multiple sclerosis	0.00199009935235
N31	Neuromuscular dysfunction of bladder, not elsewhere classified	0.00208458462215
C50	Malignant neoplasm of breast	0.0118272681648
J13	Pneumonia due to Streptococcus pneumoniae	-0.000703850667414
K08	Other disorders of teeth and supporting structures	0.00333728769346
I84	Haemorrhoids	0.00706694675847
R20	Disturbances of skin sensation	0.00109875648539
C44	Other malignant neoplasms of skin	0.0112045652458
K37	Unspecified appendicitis	0.00115427202128
R30	Pain associated with micturition	0.00114020835778
O46	Antepartum haemorrhage, not elsewhere classified	0.0014278073365
N12	Tubulo-interstitial nephritis, not specified as acute or chronic	-0.0024422700812
C71	Malignant neoplasm of brain	0.000169499864944
Z87	Personal history of other diseases and conditions	-0.000422037588341
K26	Duodenal ulcer	-0.000842867395311
R09	Other symptoms and signs involving the circulatory and respiratory systems	-0.00323431523159
D10	Benign neoplasm of mouth and pharynx	-0.000709409101798
N61	Inflammatory disorders of breast	0.00229616518424
M75	Shoulder lesions	0.00398103443023
M95	Other acquired deformities of musculoskeletal system and connective tissue	-0.000317251441633
K59	Other functional intestinal disorders	0.00144315310949
B50	Plasmodium falciparum malaria	-0.000569330365147
R14	Flatulence and related conditions	0.00507880400204
O62	Abnormalities of forces of labour	3.84594172984e-05
D21	Other benign neoplasms of connective and other soft tissue	0.000390545134917
N76	Other inflammation of vagina and vulva	-0.000729947496107
M84	Disorders of continuity of bone	0.00237770549225
M67	Other disorders of synovium and tendon	0.00458578942144
L73	Other follicular disorders	-0.00130469308776
L72	Follicular cysts of skin and subcutaneous tissue	0.00247945712565
40001_C029	Tongue, unspecified	0.147839849747
40001_C159	Oesophagus, unspecified	0.015021631277
40001_C170	Duodenum	0.0462577408054
40001_C187	Sigmoid colon	-0.107294365373
40001_C20	Malignant neoplasm of rectum	-0.0428662995876
40001_C221	Intrahepatic bile duct carcinoma	0.145477147933
40001_C260	Intestinal tract, part unspecified	0.0556149476893
40001_C439	Malignant melanoma of skin, unspecified	-0.108629302286
40001_C482	Peritoneum, unspecified	-0.0291344820222
40001_C539	Cervix uteri, unspecified	-0.0909112894649
40001_C56	Malignant neoplasm of ovary	-0.024608518687
40001_C66	Malignant neoplasm of ureter	0.0973695230529
40001_C786	Secondary malignant neoplasm of retroperitoneum and peritoneum	0.128644202776
40001_C710	Cerebrum, except lobes and ventricles	0.100358363385
40001_C809	Malignant neoplasm, unspecified	-0.0418833959307
40001_C833	Large cell (diffuse)	-0.063677011228
40001_C859	Non-Hodgkin's lymphoma, unspecified type	-0.126503543764
40001_C911	Chronic lymphocytic leukaemia	0.0590850853057
40001_C97	Malignant neoplasms of independent (primary) multiple sites	-0.230884565934
40001_E149	Without complications	-0.223887825789
40001_F03	Unspecified dementia	-0.0687833660558
40001_G309	Alzheimer's disease, unspecified	-0.0528947061814
40001_G409	Epilepsy, unspecified	-0.0394521066434
40001_I119	Hypertensive heart disease without (congestive) heart failure	-0.128893668098
40001_I255	Ischaemic cardiomyopathy	-0.0132703500902
40001_I330	Acute and subacute infective endocarditis	-0.0135133436702
40001_I38	Endocarditis, valve unspecified	0.012865318409
40001_I48	Atrial fibrillation and flutter	0.119599113602
40001_I517	Cardiomegaly	0.128688072645
40001_I619	Intracerebral haemorrhage, unspecified	0.1199727761
40001_I64	Stroke, not specified as haemorrhage or infarction	0.00583524902248
40001_I711	Thoracic aortic aneurysm, ruptured	0.102533412768
40001_I802	Phlebitis and thrombophlebitis of other deep vessels of lower extremities	-0.116304366192
40001_J189	Pneumonia, unspecified	-0.0492356470805
40001_J441	Chronic obstructive pulmonary disease with acute exacerbation, unspecified	-0.0690398743909
40001_J47	Bronchiectasis	-0.0293852241547
40001_J849	Interstitial pulmonary disease, unspecified	0.0706354836497
40001_K550	Acute vascular disorders of intestine	-0.032541921774
40001_K578	Diverticular disease of intestine, part unspecified, with perforation and abscess	-0.063053377923
40001_K703	Alcoholic cirrhosis of liver	0.0572837858819
40001_K746	Other and unspecified cirrhosis of liver	-0.0508394803767
40001_K830	Cholangitis	0.0672722079318
40001_M069	Rheumatoid arthritis, unspecified	0.0901525931903
40001_U509	Inquest Adjourned Death	0.0309984611862
40001_W190	Home	0.0162517936777
40001_X599	Unspecified place	-0.0424573020122
40001_X780	Home	0.0469323884748
40001_A419	Septicaemia, unspecified	0.1204758423
40001_C160	Cardia	0.109493820587
40001_C109	Oropharynx, unspecified	-0.0778152346231
40001_C180	Caecum	0.135177388607
40001_C189	Colon, unspecified	-0.0961927820623
40001_C210	Anus, unspecified	-0.122756717362
40001_C23	Malignant neoplasm of gallbladder	0.109764270281
40001_C450	Mesothelioma of pleura	0.0902751224179
40001_C269	Ill-defined sites within the digestive system	0.162211328395
40001_C499	Connective and soft tissue, unspecified	0.0435372062496
40001_C541	Endometrium	0.104345184487
40001_C61	Malignant neoplasm of prostate	0.0779695739992
40001_C679	Bladder, unspecified	0.0512410225843
40001_C719	Brain, unspecified	0.012478662867
40001_C80	Malignant neoplasm without specification of site	0.107534925075
40001_C819	Hodgkin's disease, unspecified	0.0790801431328
40001_C845	Other and unspecified T-cell lymphomas	0.0570261904627
40001_C900	Multiple myeloma	-0.0264428850486
40001_D432	Brain, unspecified	-0.129203546219
40001_C920	Acute myeloid leukaemia	-0.0255601255395
40001_E854	Organ-limited amyloidosis	0.213879737348
40001_G122	Motor neuron disease	-0.00770801130638
40001_G318	Other specified degenerative diseases of nervous system	0.0581530912452
40001_G903	Multisystem degeneration	0.104683998264
40001_I219	Acute myocardial infarction, unspecified	-0.278996727358
40001_I350	Aortic (valve) stenosis	0.0706584865595
40001_I259	Chronic ischaemic heart disease, unspecified	0.146980937679
40001_I420	Dilated cardiomyopathy	0.0198131634053
40001_I500	Congestive heart failure	-0.00982367846512
40001_I607	Subarachnoid haemorrhage from intracranial artery, unspecified	0.0920988071629
40001_I629	Intracranial haemorrhage (nontraumatic), unspecified	0.209119386189
40001_I713	Abdominal aortic aneurysm, ruptured	-0.0616246435308
40001_I679	Cerebrovascular disease, unspecified	-0.10234770121
40001_J180	Bronchopneumonia, unspecified	0.0131080969358
40001_J439	Emphysema, unspecified	0.00619055773324
40001_J449	Chronic obstructive pulmonary disease, unspecified	0.00665911711211
40001_J690	Pneumonitis due to food and vomit	-0.120030965389
40001_J988	Other specified respiratory disorders	0.212058115508
40001_K559	Vascular disorder of intestine, unspecified	-0.00561396449017
40001_K631	Perforation of intestine (nontraumatic)	0.0787622491355
40001_K704	Alcoholic hepatic failure	0.0298803881037
40001_K760	Fatty (change of) liver, not elsewhere classified	0.134329939079
40001_K859	Acute pancreatitis, unspecified	-0.0912219810476
40001_N390	Urinary tract infection, site not specified	0.0486599590357
40001_V499	Car occupant [any] injured in unspecified traffic accident	-0.0116802774305
40001_X420	Home	-0.0208748601276
40001_X700	Home	-0.237384056065
40001_A810	Creutzfeldt-Jakob disease	0.179724579557
40001_C140	Pharynx, unspecified	0.0327386771029
40001_C181	Appendix	-0.221987271554
40001_C169	Stomach, unspecified	0.105701448918
40001_C19	Malignant neoplasm of rectosigmoid junction	-0.108773326583
40001_C220	Liver cell carcinoma	0.0666846641223
40001_C259	Pancreas, unspecified	0.102076300318
40001_C329	Larynx, unspecified	-0.076401117478
40001_C459	Mesothelioma, unspecified	0.177276798701
40001_C509	Breast, unspecified	-0.0548058670047
40001_C55	Malignant neoplasm of uterus, part unspecified	-0.00536428519667
40001_C64	Malignant neoplasm of kidney, except renal pelvis	0.0949587908833
40001_C689	Urinary organ, unspecified	0.0101808319387
40001_C73	Malignant neoplasm of thyroid gland	0.0813721001293
40001_C800	Malignant neoplasm, primary site unknown, so stated	0.0398714779746
40001_C829	Follicular non-Hodgkin's lymphoma, unspecified	0.161722554139
40001_C851	B-cell lymphoma, unspecified	-0.0599774034994
40001_C910	Acute lymphoblastic leukaemia	0.0571763034083
40001_C921	Chronic myeloid leukaemia	-0.0099768918249
40001_D469	Myelodysplastic syndrome, unspecified	-0.160217002415
40001_F019	Vascular dementia, unspecified	-0.00502402102456
40001_G20	Parkinson's disease	-0.128427843583
40001_G35	Multiple sclerosis	-0.0134440215964
40001_I110	Hypertensive heart disease with (congestive) heart failure	-0.0601773035315
40001_I269	Pulmonary embolism without mention of acute cor pulmonale	0.0398463500578
40001_I359	Aortic valve disorder, unspecified	-0.0398709567624
40001_I251	Atherosclerotic heart disease	0.00383105918689
40001_I429	Cardiomyopathy, unspecified	-0.0208244065898
40001_I509	Heart failure, unspecified	-0.0898232468866
40001_I609	Subarachnoid haemorrhage, unspecified	0.0649165794342
40001_I639	Cerebral infarction, unspecified	-0.190642696901
40001_I710	Dissection of aorta [any part]	-0.0928600175064
40001_I739	Peripheral vascular disease, unspecified	0.0607640037128
40001_J181	Lobar pneumonia, unspecified	0.0981420147616
40001_J440	Chronic obstructive pulmonary disease with acute lower respiratory infection	-0.00675980410029
40001_J459	Asthma, unspecified	0.024701031507
40001_J841	Other interstitial pulmonary diseases with fibrosis	0.267700118559
40001_K264	Chronic or unspecified with haemorrhage	-0.0234055034887
40001_K566	Other and unspecified intestinal obstruction	0.0459201145445
40001_K701	Alcoholic hepatitis	0.207630139159
40001_K709	Alcoholic liver disease, unspecified	0.132554905386
40001_K802	Calculus of gallbladder without cholecystitis	-0.16861784156
40001_K922	Gastro-intestinal haemorrhage, unspecified	0.0636914938427
40001_W100	Home	0.0741789179867
40001_R99	Other ill-defined and unspecified causes of mortality	0.0839843726125
40001_X590	Home	-0.0246264984694
40001_X708	Other specified place	0.171610488825
