phenocode	name	category
D3_HAEMORRHAGCIRGUANTICO	Haemorrhagic disorder due to circulating anticoagulants	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)
D3_HAEMORRHAGICNAS	Otherand unspecified haemorrhagic conditions	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)
D3_HEREDOTHCLOFACTORS	Hereditary deficiency of other clotting factors	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)
D3_IMMUDEF	Immunodeficiencies	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)
D3_IMMUDEFANTIBODY	Immunodeficiency with predominantly antibody defects	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)
D3_IMMUDEFANTIBODYNAS	Other and unspecified immunodeficiencies with predominantly antibody defects	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)
D3_IMMUDEFOTHER	Other immunodeficiencies	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)
D3_IMMUNEMECHANISM	Certain disorders involving the immune mechanism	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)
D3_IMMUNEMECHANISMNAS	"Other and unspecified disorders involving the immune mechanism, not elsewhere classified"	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)
D3_IMMUNEMECHANISMOTHER	"Other disorders involving the immune mechanism, not elsewhere classified"	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)
D3_ITP	Idiopathic thrombocytopenic purpura	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)
D3_KELA_IMMUDEF	Kela reimbursement Agammaglobulinemia (D80-84)	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)
D3_NONHEREDHYPOGAMMA	Nonhereditary hypogammaglobulinemia	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)
D3_NUTRIANAEMIA	Nutritional anaemias	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)
D3_NUTRIANAEMIAOTHER	Other nutritional anaemias	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)
D3_OTHERANAEMIA	Other anaemias	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)
D3_OTHERAPLASTICANAEMIA	Other and unspecified aplastic anaemias	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)
D3_OTHERBLOOD	Oher diseases of blood and blood-forming organs	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)
D3_OTHERWHITECELL	Other disorders of white blood cells	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)
D3_OTHNONTHROMBOCYTOPENPURPURA	Other nonthrombocytopenic purpura	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)
D3_PURPURA_AND3_OTHER_HAEMORRHAGIC	Purpura and other haemorrhagic conditions	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)
D3_SARCOIDOSIS	Sarcoidosis	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)
D3_SCNDPOLYCYTHAEMIA	Secondary polycythaemia	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)
D3_SCNDTHROMBOCYTOPENIA	Secondary thrombocytopenia	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)
D3_SPLEENDISEASE	Diseases of spleen	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)
D3_THROMBOCYTOPENIANAS	"Thrombocytopenia, unspecified"	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)
D3_VONVILLEBRAND	Von Willebrand disease	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)
D3_WHITEBLOODCELLNAS	Other and unspecified disorders of white blood cells	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)
DEATH	Any death	Common endpoint
DENTAL_TMD	TMD related pain	Dental endpoints
DENTAL_TMD_FIBRO	TMD muscular pain lnked with fibromyalgia	Dental endpoints
DERMATOPOLY_FG	Dermatopolymyositis (FG)	Rheuma endpoints
DIABETES_FG	"Diabetes, varying definitions"	Diabetes endpoints
DIS_THYROID_OTH	Other disorders of thyroid	Comorbidities of Gastrointestinal endpoints
DM_AION	AION (anterior ischemic optic neuropathy)	Diabetes endpoints
DM_BCKGRND_RETINA	Background diabetic retinopathy	Diabetes endpoints
DM_BCKGRND_RETINA_NONPROLIF	Severe non-proliferative background diabetic retinopathy	Diabetes endpoints
DM_COMORB_EXMORE	Diabetes-related co-morbidities/complications (more controls excluded)	IV Endocrine, nutritional and metabolic diseases (E4_)
DM_HYPOGLYC	Diabetic hypoglycemia	Diabetes endpoints
DM_KETOACIDOSIS	Diabetic ketoacidosis	Diabetes endpoints
DM_MACULOPATHY	Diabetic maculopathy	Diabetes endpoints
DM_MACULOPATHY_EXMORE	Diabetic maculopathy (more controls excluded)	Diabetes endpoints
DM_NEOVASCULAR_GLAUCOMA	Neovascular glaucoma	Diabetes endpoints
DM_NEPHROPATHY	Diabetic nephropathy	Diabetes endpoints
DM_NEPHROPATHY_EXMORE	Diabetic nephropathy (more controls excluded)	Diabetes endpoints
DM_NEUROPATHY	Diabetic neuropathy	Diabetes endpoints
DM_OPTHALMIC_COMORB	"Diabetes, opthalmic co-morbidities"	Diabetes endpoints
DM_OTHER_WIDE	"Other diabetes, wide definition"	Diabetes endpoints
DM_PERIPHATHERO	Peripheral atherosclerosis	Comorbidities of Diabetes
DM_PERIPH_ANGIOPATHY	Peripheral angiopathy	Diabetes endpoints
DM_POLYNEURO	Diabetic polyneuropathy	Diabetes endpoints
DM_RETINA_NOS	Unspecified diabetic retinopathy	Diabetes endpoints
DM_RETINA_PROLIF	Proliferative diabetic retinopathy	Diabetes endpoints
DM_RETINOPATHY	Diabetic retinopathy	Diabetes endpoints
DM_RETINOPATHY_EXMORE	Diabetic retinopathy (more controls excluded)	Diabetes endpoints
DM_RET_ART_OCCLU_BRANCH	Retinal artery occlusion (branch)	Diabetes endpoints
DM_RET_VEIN_OCCLU	Retinal vein occlusion (central or branch)	Diabetes endpoints
DM_SEVERAL_COMPLICATIONS	"Diabetes, several complications"	Diabetes endpoints
DM_VITREOUS_BLEEDING	Vitreous bleeding (caused by prolif. dmrp when together with H36.03*)	Diabetes endpoints
DRUGADVERS_ADRENOCORTICAL_INSUFFICIENCY	Drug-induced adrenocortical insufficiency	IV Endocrine, nutritional and metabolic diseases (E4_)
DRUGADVERS_CATAR	Drug-induced cataract	VII Diseases of the eye and adnexa (H7_)
DRUGADVERS_NEUTROPENIA	Drug-induced neutropenia	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)
DRUGADVERS_OSTEOPO	Drug-induced osteoporosis	XIII Diseases of the musculoskeletal system and connective tissue (M13_)
DRUGADVERS_SYSTEMIC_LUPUS_ERYTHEMAT	Drug-induced systemic lupus erythematosus	XIII Diseases of the musculoskeletal system and connective tissue (M13_)
DRUGADVERS_TREMOR	Drug-induced tremor	VI Diseases of the nervous system (G6_)
DRY_AMD	Dry age-related macular degeneration (includes geographic atrophy)	VII Diseases of the eye and adnexa (H7_)
E4_ACIDOSIS	Acidosis	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_ACROMEG	Acromegaly and pituitary gigantism	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_ADDISON	Adrenocortical insufficiency	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_ADRENAL	Other disorders of adrenal gland	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_AMYLNAS	"Amyloidosis, other/unspecified"	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_AMYLOIDOSIS	Amyloidosis	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_CARCISDR	Carcinoid syndrome	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_CA_MET	Disorders of calcium metabolism	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_CONGEIOD	Congenital iodine-deficiency syndrome/hypothyroidism	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_CUSHING	Cushing syndrome	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_DELPUB	Delayed puberty	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_DIABETES	Diabetes mellitus	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_DIABINSIPIDUS	Diabetes insipidus	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_DISPUB	Disorders of puberty	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_DM1	Type 1 diabetes	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_DM1COMA	Type 1 diabetes with coma	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_DM1KETO	Type 1 diabetes with ketoacidosis	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_DM1NASCOMP	Type 1 diabetes with other specified/multiple/unspecified complications	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_DM1NEU	Type 1 diabetes with neurological complications	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_DM1NOCOMP	Type 1 diabetes without complications	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_DM1OPTH	Type 1 diabetes with ophthalmic complications	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_DM1PERIPH	Type 1 diabetes with peripheral circulatory complications	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_DM1REN	Type 1 diabetes with renal complications	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_DM1_STRICT	"Type 1 diabetes, strict (exclude DM2)"	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_DM2	Type 2 diabetes	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_DM2COMA	Type 2 diabetes with coma	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_DM2KETO	Type 2 diabetes with ketoacidosis	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_DM2NASCOMP	Type 2 diabetes with other specified/multiple/unspecified complications	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_DM2NEU	Type 2 diabetes with neurological complications	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_DM2NOCOMP	Type 2 diabetes without complications	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_DM2OPTH	Type 2 diabetes with ophthalmic complications	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_DM2PERIPH	Type 2 diabetes with peripheral circulatory complications	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_DM2REN	Type 2 diabetes with renal complications	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_DM2_STRICT	"Type 2 diabetes, strict (exclude DM1)"	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_DMNAS	Unspecified diabetes	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_DMNASKETO	Unspecified diabetes with ketoacidosis	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_DMNASNASCOMP	Unspecified diabetes with multiple/unspecified complications	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_DMNASNOCOMP	Unspecified diabetes without complications	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_ENDODIS	Other endocrine disorders	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_ENDODISNAS	"Endocrine disorders, other/unspecified"	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_ENDOGLAND	Disorders of other endocrine glands	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_ENDOMETPOSTOP	"Postprocedural endocrine and metabolic disorders, not elsewhere classified"	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_ENDONUTRMET	"Endocrine, nutritional and metabolic diseases"	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_FLUIDELECTRO	"Other disorders of fluid, electrolyte and acid-base balance"	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_FLUIDELECTRONAS	"Other disorders of electrolyte and fluid balance, not elsewhere classified"	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_GILBERT	Gilbert syndrome	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_GLUCOPANCREAS	Other disorders of glucose regulation and pancreatic internal secretion	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_GOITREDIFF	Nontoxic diffuse goitre	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_GOITREMULTINOD	Nontoxic multinodular goitre	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_GOITRENAS	Other and/or unspecified nontoxic goitre	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_GOITRENOD	Nontoxic single thyroid nodule	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_HYPERALDO	Hyperaldosteronism	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_HYPERCHOL	Pure hypercholesterolaemia	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_HYPERGLYCER	Pure hyperglyceridaemia	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_HYPERKALAEMIA	Hyperkalaemia	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_HYPERLIPMIX	Mixed hyperlipidaemia	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_HYPERLIPNAS	"Hyperlipidaemia, other/unspecified"	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_HYPEROSMHNAT	Hyperosmolality and hypernatraemia	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_HYPERPARA	Hyperparathyroidism	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_HYPERPIT	Hyperfunction of pituitary gland	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_HYPERPRO	Hyperprolactinaemia	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_HYPERPRO_ADVERSE	"Hyperprolactinaemia, drug-induced"	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_HYPODRUG	Drug-induced hypoglycaemia without coma	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_HYPOGLYC	"Hypoglycaemia, other or unspecified"	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_HYPOKALAEMIA	Hypokalaemia	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_HYPOOSMNAT	Hypo-osmolality and hyponatraemia	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_HYPOPARA	Hypoparathyroidism	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_HYPOPIT	Hypopituitarism	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_HYTHYNAS	"Hypothyroidism,  other/unspecified"	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_HYTHYPOSTINF	Postinfectious hypothyroidism	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_HYTHYSUBS	Hypothyroidism due to medicaments and other exogenous substances	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_HYTHY_AI_STRICT	"Hypothyroidism, strict autoimmune"	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_HYTHY_AI_STRICT_PURCH	"Hypothyroidism, strict autoimmune, 3 medication purchases required"	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_IRON_MET	Disorders of iron metabolism	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_LACTONAS	"Lactose intolerance, other/unspecified"	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_LACTOSEINT	Lactose intolerance	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_LIPOPROT	Disorders of lipoprotein metabolism and other lipidaemias	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_LIPOPROTNAS	"Disorder of lipoprotein metabolism, unspecified"	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_MALNUTRITION	Malnutrition	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_METABO	Other metabolic disorders	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_METABOLIA	Metabolic disorders	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_MINERAL_MET	Disorders of mineral metabolism	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_NUTRIDEF	Other nutritional deficiencies	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_NUTRI_DEF_NAS	Other specified/unspecified nutritional deficiencies	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_OBESITY	Obesity	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_OBESITYCAL	Obesity due to excess calories	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_OBESITYDRUG	Drug-induced obesity	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_OBESITYNAS	"Obesity, other/unspecified"	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_OBESITYXTRMALV	Extreme obesity with alveolar hypoventilation	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_OBESITY_HYPER	Obesity and other hyperalimentation	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_OVARDYS	Ovarian dysfunction	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_OVARFAIL	Primary ovarian failure	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_PANCSECNAS	"Disorder of pancreatic internal secretion, other and/or unspecified"	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_PARANAS	"Disorders of parathyroid gland, other and/or unspecified"	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_PARATHYRO	Disorders of parathyroid gland	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_PITUDISNAS	"Disorders of pituitary gland, other and/or unspecified"	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_PLASMAPROT	"Disorders of plasma-protein metabolism, not elsewhere classified"	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_POCS	Polycystic ovarian syndrome	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_PORBILIR	Disorders of porphyrin and bilirubin metabolism	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_SHORT	"Short stature, not elsewhere classified"	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_TESTICHYPO	Testicular hypofunction	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_TESTIDYS	Testicular dysfunction	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_THYROID	Disorders of the thyroid gland	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_THYROIDITAUTOIM	Autoimmune thyroiditis	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_THYROIDITNAS	"Thyroiditis, unspecified"	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_THYROIDITSUBAC	Subacute thyroiditis	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_THYROIDNASOTH	"Disorder of thyroid, unspecified"	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_THYTOXGOITDIF	Thyrotoxicosis with diffuse goitre	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_THYTOXGOITMULT	Thyrotoxicosis with toxic multinodular goitre	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_THYTOXNAS	"Thyrotoxicosis, other and/or unspecified"	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_THYTOXNOD	Thyrotoxicosis with toxic single thyroid nodule	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_VIT_B_DEF	Deficiency of other B group vitamins	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_VIT_DEF	Vitamin deficiency	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_VIT_D_DEF	Vitamin D deficiency	IV Endocrine, nutritional and metabolic diseases (E4_)
E4_VOLUME	Volume depletion	IV Endocrine, nutritional and metabolic diseases (E4_)
ENCEPHALITIS	Encephalitis	Comorbidities of Neurological endpoints
EPISEIZALCO	Epileptic seizures related to alcohol	Alcohol related diseases
ERECTILE_DYSFUNCTION	Erectile dysfunction	V Mental and behavioural disorders (F5_)
ESOSINOPHIL_DISEASE	Eosinophilic disease (BM)	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)
F5_ADHD	Disturbance of activity and attention	V Mental and behavioural disorders (F5_)
F5_ALCOHOL	Mental and behavioural disorders due to alcohol	V Mental and behavioural disorders (F5_)
F5_ALCOHOLAC	Acute alcohol intoxication	V Mental and behavioural disorders (F5_)
F5_ALCOHOL_DEPENDENCE	Alcohol dependence	V Mental and behavioural disorders (F5_)
F5_ALLANXIOUS	All anxiety disorders	V Mental and behavioural disorders (F5_)
F5_ALZHDEMENT	Dementia in Alzheimer disease	V Mental and behavioural disorders (F5_)
F5_ANAPER	Anankastic personality disorder	V Mental and behavioural disorders (F5_)
F5_ANOREX	Anorexia (incl.atypical)	V Mental and behavioural disorders (F5_)
F5_ANXIETY	Other anxiety disorders	V Mental and behavioural disorders (F5_)
F5_ANXPER	Anxious personality disorder	V Mental and behavioural disorders (F5_)
F5_AUTISM	Autism	V Mental and behavioural disorders (F5_)
F5_BEHAVE	Behavioural syndromes associated with physiological disturbances and physical factors	V Mental and behavioural disorders (F5_)
F5_BEHEMOCHILD	Behauvioural and emotional disorders with onset usually occuring in childhood and adolescence	V Mental and behavioural disorders (F5_)
F5_BEHEMOTH	Other behavioural and emotional disorders with onset usually occuring in childhood and adolescence	V Mental and behavioural disorders (F5_)
F5_BIPO	Bipolar affective disorders	V Mental and behavioural disorders (F5_)
F5_BULIMIA	Bulimia nervosa (incl. atypical)	V Mental and behavioural disorders (F5_)
F5_CANNABIS	Mental and behavioural disorders due to cannabinoids	V Mental and behavioural disorders (F5_)
F5_CONDUCT	Conduct disorder	V Mental and behavioural disorders (F5_)
F5_CONDUCTEMO	Mixed disorders of conduct and emotions	V Mental and behavioural disorders (F5_)
F5_DELIRIUM	"Delirium, not induced by alcohol and other psychoactive substances"	V Mental and behavioural disorders (F5_)
F5_DELUSIO	Persistent delusional disorders	V Mental and behavioural disorders (F5_)
F5_DEMENTIA	Dementia	V Mental and behavioural disorders (F5_)
F5_DEMENTIA_INCLAVO	"Dementia, including avohilmo"	V Mental and behavioural disorders (F5_)
F5_DEMINOTH	Dementia in other diseases classified elsewhere	V Mental and behavioural disorders (F5_)
F5_DEMNAS	Unspecified dementia	V Mental and behavioural disorders (F5_)
F5_DEPPER	Dependent personality disorder	V Mental and behavioural disorders (F5_)
F5_DEPRESSIO	Depression	V Mental and behavioural disorders (F5_)
F5_DISPER	Dissocial personality disorder	V Mental and behavioural disorders (F5_)
F5_DISSOCIATIVE	Dissociative [conversion] disorders	V Mental and behavioural disorders (F5_)
F5_Dementia_U	Undefined dementia	V Mental and behavioural disorders (F5_)
F5_Dementia_U_EXMORE	Undefined dementia (more controls excluded)	V Mental and behavioural disorders (F5_)
F5_EATING	Eating disorders	V Mental and behavioural disorders (F5_)
F5_EATOTH	Other eating disorders	V Mental and behavioural disorders (F5_)
F5_EMOCHILD	Emotional disorders and disorders of social functioning with onset specific to childhood	V Mental and behavioural disorders (F5_)
F5_EMOPER	Emotionally unstable personality disorder	V Mental and behavioural disorders (F5_)
F5_GAD	Generalized anxiety disorder	V Mental and behavioural disorders (F5_)
F5_GENDER	Gender identity disorders	V Mental and behavioural disorders (F5_)
F5_HABIT	Habit and impulse disorders	V Mental and behavioural disorders (F5_)
F5_HALLUCIN	Mental and behavioural disorders due to hallucinogens	V Mental and behavioural disorders (F5_)
F5_HISPER	Histrionic personality disorder	V Mental and behavioural disorders (F5_)
F5_HYPERKIN	Hyperkinetic disorders (excl. ADHD)	V Mental and behavioural disorders (F5_)
F5_HYPERSOMNIA	Hypersomnia	V Mental and behavioural disorders (F5_)
F5_INSOMNIA	Insomnia	V Mental and behavioural disorders (F5_)
F5_KELAMENT	Kela-cod for severe mental illness	V Mental and behavioural disorders (F5_)
F5_KELARET	Kela-code for behavioural disturbances in mental retardation	V Mental and behavioural disorders (F5_)
F5_MANIA	Manic episode	V Mental and behavioural disorders (F5_)
F5_MENTALUNSPE	"Mental disorders, not otherwise specified"	V Mental and behavioural disorders (F5_)
F5_MENTORG	Other mental disorders due to brain damage and dysfunction and to physical disease	V Mental and behavioural disorders (F5_)
F5_MENTPUER	Mental and behauvioural disorders associated with the puerperium	V Mental and behavioural disorders (F5_)
F5_MENTRET	Mental retardation	V Mental and behavioural disorders (F5_)
F5_MILDRET	Mild mental retardation	V Mental and behavioural disorders (F5_)
F5_MIXEDDEV	Mixed specific developmental disorders	V Mental and behavioural disorders (F5_)
F5_MIXPER	Mixed and other personality disorders	V Mental and behavioural disorders (F5_)
F5_MODRET	Moderate mental retardation	V Mental and behavioural disorders (F5_)
F5_MOOD	Mood [affective] disorders	V Mental and behavioural disorders (F5_)
F5_MOODOTH	Other and unspecidied mood [affective] disorders	V Mental and behavioural disorders (F5_)
F5_MOTOR	Specific developmental disorder of motor function	V Mental and behavioural disorders (F5_)
F5_NEUROTIC	"Neurotic, stress-related and somatoform disorders"	V Mental and behavioural disorders (F5_)
F5_NEUROTICOTH	Other neurotic disorders	V Mental and behavioural disorders (F5_)
F5_OCD	Obsessive-compulsive disorder	V Mental and behavioural disorders (F5_)
F5_OPIOIDS	Mental and behavioural disorders due to opioids	V Mental and behavioural disorders (F5_)
F5_ORGANIC	"Organic, including symptomatic, mental disorders"	V Mental and behavioural disorders (F5_)
F5_OTHERSUB	Mental and behavioural disorders due to multiple drug use and use of multiple drugs and use of other psycoactive substances	V Mental and behavioural disorders (F5_)
F5_OTHPER	Other specified and unspecified personality disorders	V Mental and behavioural disorders (F5_)
F5_OTHRET	Other and unspecified mental retardation	V Mental and behavioural disorders (F5_)
F5_PANIC	Panic disorder	V Mental and behavioural disorders (F5_)
F5_PARAPER	Paranoid personality disorder	V Mental and behavioural disorders (F5_)
F5_PERSBEHORG	"Personality and behavioural disorders due to brain disease, damage and dysfunction"	V Mental and behavioural disorders (F5_)
F5_PERSMOOD	Persistent mood disorders	V Mental and behavioural disorders (F5_)
F5_PERSOBEH	Disorders of adult personality and behaviour	V Mental and behavioural disorders (F5_)
F5_PERSONALITY	Specific personality disorders	V Mental and behavioural disorders (F5_)
F5_PERSOTH	Other and unspecified disorders of adult personality and behauviour	V Mental and behavioural disorders (F5_)
F5_PERVASIVE	Pervasive developmental disorders excl. Autism + Asperger	V Mental and behavioural disorders (F5_)
F5_PHOBANX	Phobic anxiety disorders	V Mental and behavioural disorders (F5_)
F5_PHYSBEHOTH	Unspefcified behauvioural syndromes associated with physiological disturbances and physical factors +Phsyiological and behauvioural factors associated with disorders of diseases classified elsewhere	V Mental and behavioural disorders (F5_)
F5_PSYCH	Psychiatric diseases	V Mental and behavioural disorders (F5_)
F5_PSYCHDEV	Disorders of psychological developtment	V Mental and behavioural disorders (F5_)
F5_PSYCHDEVOTH	Other and unspecified disorders of psychological development	V Mental and behavioural disorders (F5_)
F5_PSYCHOTH	Other and unspecified nonorganic psychotic disorders	V Mental and behavioural disorders (F5_)
F5_PSYTRANS	Acute and transient psychotic disorders	V Mental and behavioural disorders (F5_)
F5_PTSD	Post-traumatic stress disorder	V Mental and behavioural disorders (F5_)
F5_SCHIZO	"Schizophrenia, schizotypal and delusional disorders"	V Mental and behavioural disorders (F5_)
F5_SCHIZOAFF	Schizoaffective disorder	V Mental and behavioural disorders (F5_)
F5_SCHIZOTYP	Schizotypal disorder	V Mental and behavioural disorders (F5_)
F5_SCHIZPER	Schizoid personality disorder	V Mental and behavioural disorders (F5_)
F5_SCHOLA	Specific development disorders of scholastic skills	V Mental and behavioural disorders (F5_)
F5_SCHZPHR	Schizophrenia	V Mental and behavioural disorders (F5_)
F5_SEDAHYP	Mental and behavioural disorders due to sedatives or hypnotics	V Mental and behavioural disorders (F5_)
F5_SEXDYS	Sexual dysfunction	V Mental and behavioural disorders (F5_)
F5_SLEEP	Sleep disorders	V Mental and behavioural disorders (F5_)
F5_SLEEPWAKE	Disorder of the sleep-wake schedule	V Mental and behavioural disorders (F5_)
